id,file_path,status,error,cid,created_at,updated_at
60,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/documents/habs_tule_lake_jail_data.pdf,Success,"",bafkreigattsemzjcpdws5opxgedqorz24phnio65xajlzp6iyvtrd5leyu,2026-04-07 16:06:08.789541,2026-04-07 16:06:10.878257
61,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/02_color_abalone_mt.jpg,Success,"",bafkreidtk3oxk6lltpxqjwwsjhcwxgdaw7p3rxqcihjedwhjgkjc3arjma,2026-04-07 16:06:10.400089,2026-04-07 16:06:11.496845
62,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/i_am_an_american/testimonies/quote_bank.md,Success,"",bafkreihcbeiftz7mzhophebv6ryzmmxouz3c7wkwuh6bapxzvxmdgt6vei,2026-04-07 16:06:11.966417,2026-04-07 16:06:13.180437
63,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/04_color_camp_d.jpg,Success,"",bafkreihjvodvrcygfywkexyjw7kbudnlqyangmwemum6f4lfl3jrgvhpgy,2026-04-07 16:06:12.795899,2026-04-07 16:06:13.972503
64,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/05_albers_construction.jpg,Success,"",bafkreihyogf6jormuul34osfx7nqqdcok42fg2m6tmoyaainjlrezfjgwq,2026-04-07 16:06:15.709727,2026-04-07 16:06:16.9509
65,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/testimonies/quote_bank.md,Success,"",bafkreiatmq7vojasxeas6slwq43a56dljyobmmx3dn2snlrmwmpmz56isi,2026-04-07 16:06:17.597136,2026-04-07 16:06:18.561767
66,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/03_color_camp_c.jpg,Success,"",bafkreieczjkktusejs246yjd5nansnoyqnbfcxbwdsn7ghl7rqlezafzby,2026-04-07 16:06:17.743159,2026-04-07 16:06:18.9587
67,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/documents/02_segregation_center_reference.md,Success,"",bafkreiao4f2m25d6bpuoxkrbyxpavn2pw4me4eyax2menzb7bww53cgq6i,2026-04-07 16:06:17.780966,2026-04-07 16:06:19.20607
68,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/16_ocrotty_tarpaper_barrack_bank.jpg,Success,"",bafkreicm7pruoen2pc3kjveqkja6zxfafsj2xbhjfnqambj4mo6vlsajay,2026-04-07 16:06:18.295076,2026-04-07 16:06:19.609919
69,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/17_habs_stockade_view1.jpg,Success,"",bafkreidn6g4cyo3tcs3hftahgkvpjyu2suzljrvznm3lpqlbv2o7cfwvkq,2026-04-07 16:06:18.807548,2026-04-07 16:06:19.950391
70,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/15_ocrotty_barracks_exterior.jpg,Success,"",bafkreihb7k57a4tvggwqgqjpzjuevw4dtk2jzsjcgepogcif7qcfina2k4,2026-04-07 16:06:23.042405,2026-04-07 16:06:24.207886
71,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/02_draft_resistance_reference.md,Success,"",bafkreicyxrspuv3z4i4ea3itakcfi4tqnqbz7uckrfrnudfbpch55fdqra,2026-04-07 16:06:23.780357,2026-04-07 16:06:24.890711
72,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/tule_lake/photos/14_ocrotty_admin_building.jpg,Success,"",bafkreidvnirspz5tfynv3ait3goubgdwrmp4ctuggfvgo4hmlp7qexsmty,2026-04-07 16:06:26.867197,2026-04-07 16:06:27.991988
73,/home/sysadmin/integrity-sync/main/Japanese American Incarceration Materials/heart_mountain/documents/06_densho_registry_evidence.html,Success,"",bafkreiazpsc6fcchjfqdj5jyqq4jcc5ngydvhno73vkwdmbafct6pghgtm,2026-04-07 16:06:27.499425,2026-04-07 16:06:28.574245
